id,name
235m-gsry,Pulmonary evaluation of whole-body inhalation exposure of polycarbonate (PC) filament 3D printer emissions in rats
2389-pvg9,"Table of Smokefree Indoor Air for Private Worksites, Restaurants, and Bars (CDC STATE System Tobacco Legislation- Smokefree Indoor Air)"
23ai-eekx,Sex at Birth Related Disparities in Cigarette Smoking Among Adults
23gt-ssfe,NNDSS - Table II. Invasive Pneumococcal to Legionellosis
247v-f7n9,"NNDSS - TABLE 1Z. Pertussis to Poliomyelitis, paralytic"
24ct-nyt8,NPPTL Filtering Facepiece Respirators with an Exhalation Valve: Measurements of Filtration Efficiency to Evaluate Their Potential for Source Control
24w5-nppr,2021 Final Assisted Reproductive Technology (ART) Summary
24xb-jxbc,dhds_dataset
2574-2pzg,Urban-Rural Related Disparities in Cigarette Smoking Among Adults
25m4-6qqq,NHIS Adult Summary Health Statistics
26a7-nc4u,"Percentage of Drivers and Front Seat Passengers Wearing Seat Belts, 2012 & 2014, Region 5 - Chicago"
28df-2bwy,"Prevalence of Selected Measures Among Adults Aged 20 and Over: United States, 1999-2000 through 2017-2018"
28km-nz6e,"Impaired Driving Death Rate, by Age and Sex, 2012 & 2014, Region 4 - Atlanta"
2993-4v7d,NNDSS - TABLE 1II. Tetanus to Trichinellosis
29ew-qk7z,"Motor Vehicle Occupant Death Rate, by Age and Sex, 2012 & 2014, Region 3 - Philadelphia"
29hc-w46k,Weekly Rates of Laboratory-Confirmed RSV Hospitalizations from the RSV-NET Surveillance System
29js-qshz,"NNDSS - TABLE 1J. Dengue virus infections, Dengue to Severe dengue"
29xv-7ajw,NNDSS - TABLE 1KK. Vancomycin-intermediate Staphylococcus aureus to Varicella morbidity
2den-c3u2,"Cumulative Influenza Vaccination Coverage Differences by Race/Ethnicity, Children 6 months through 17 years, United States"
2dwv-vfam,CDC STATE System Tobacco Legislation - Tax
2ew6-ywp6,NWSS Public SARS-CoV-2 Wastewater Metric Data
2g2d-yfx9,trailheads
2i8i-dz8i,"NNDSS - TABLE 1MM. Viral hemorrhagic fevers, Crimean-Congo hemorrhagic fever virus to Guanarito virus"
2ipe-avu6,Table for STATE System Expenditures as a Percentage of CDC Recommended Level  (UIC) Interactive Map
2juy-3evq,Release of Crystalline Silica Nanoparticles During Engineered Stone Fabrication
2kh7-g39q,Exposure to emissions generated by 3-dimensional printing with polycarbonate affects vascular morphology and expression of markers of oxidative stress and vascular dysfunction in cardiac tissue
2khz-k7sv,"NNDSS - TABLE 1DD. Rubella to Rubella, congenital syndrome"
2m7c-st88,Pathway to Practice (P2P) Resource Center
2m93-xvra,"Health conditions among children under age 18, by selected characteristics: United States"
2na8-fe6s,"AH Provisional Cancer Death Counts by Month and Year, 2020-2021"
2nf2-f75n,dhds_dataset
2nim-maxh,Table of Medicaid Coverage of Treatments – Counseling (Lung Association Cessation Coverage)
2qxe-cmv4,"NNDSS - TABLE 1R. Hepatitis C, perinatal infection to Influenza-associated pediatric mortality"
2r93-e5cs,National Weekly Janssen Allocations
2se8-zi9r,"Lung toxicity, deposition, and clearance of thermal spray coating particles with different metal profiles after inhalation in rats"
2snk-eav4,CDC STATE System Tobacco Legislation - Smokefree Indoor Air Summary
2sxq-n8zu,Nowcast Predictions for Chikungunya Virus-Infected Travelers
2t2r-sf6s,National Health Interview Survey (NHIS) – Vision and Eye Health Surveillance
2tj4-nah7,Anthropometric Database for the EMTs in the United States
2v3t-r3np,"Weekly Cumulative Influenza Vaccination Coverage, Adults 18 and Older, United States"
2vpi-n544,"Archive: COVID-19 Vaccination Demographic Trends by Report Date, National"
2vtj-68zm,NNDSS - TABLE 1EE. Salmonella Paratyphi infection to Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection)
32c3-mvuz,"Deaths by Race and Hispanic Origin, Ages 0-18 Years"
32fd-hyzc,CDC STATE System Tobacco Legislation - Smokefree Indoor Air
338g-fx72,Testing the shock protection performance of Type I construction helmets using impactors of different masses
33kn-dpz2,NNDSS - Table II. Legionellosis to Malaria
33xj-tdcv,Elk Creek Seismic Waveforms 2010 (Part 2 of 7)
34p9-h4us,HAICViz - Candidemia
35bp-whkw,DQS NHIS Children Summary Statistics
367e-pucc,"Preliminary Estimates of Visits to Health Centers in the United States, January 2022-June 2025"
36ue-xht5,DQS NHANES Select Oral Health Prevalence Estimates
