,id,name,assetType,averageRating,category,createdAt,description,diciBackend,displayType,downloadCount,hideFromCatalog,hideFromDataJson,locked,newBackend,numberOfComments,oid,provenance,publicationAppendEnabled,publicationDate,publicationGroup,publicationStage,rowsUpdatedAt,rowsUpdatedBy,tableId,totalTimesRated,viewCount,viewLastModified,viewType,approvals,clientContext,grants,metadata,owner,rights,tableAuthor,tags,flags,modifyingViewUid,blobFilename,blobFileSize,blobId,blobMimeType,resourceName,queryString,rowIdentifierColumnId,externalId,indexUpdatedAt,rowClass,locale,iconUrl,disabledFeatureFlags,ratings
0,y5ii-knwc,Stroke Mortality Data Among US Adults (35+) by State/Territory and County – 2022-2024,dataset,0,Heart Disease & Stroke Prevention,1783438334,"2022 to 2024, 3-year average. Rates are age-standardized. County rates are spatially smoothed. The data can be viewed by sex and racial/ethnic group. Data source: National Vital Statistics System and U.S. Census Bureau. Additional data, maps, and methodology can be viewed on the Interactive Atlas of Heart Disease and Stroke. https://www.cdc.gov/heart-disease-stroke-atlas/about/index.html",False,table,666,False,False,False,True,0,42268902,official,False,1783439087,20452655,published,1783439050,a7ta-3b7u,20452655,0,2339,1783439087,tabular,"[{'reviewedAt': 1783449311, 'reviewedAutomatically': True, 'state': 'approved', 'submissionId': 7559499, 'submissionObject': 'public_audience_request', 'submissionOutcome': 'change_audience', 'submittedAt': 1783449311, 'targetAudience': 'public', 'workflowId': 2100, 'submissionDetails': {'permissionType': 'READ'}, 'submissionOutcomeApplication': {'endedAt': 1783449311, 'failureCount': 0, 'startedAt': 1783449311, 'status': 'success'}, 'submitter': {'id': 'a7ta-3b7u', 'displayName': 'DHDSP Small Area Analysis Team'}}]","{'clientContextVariables': [], 'inheritedVariables': {}}","[{'inherited': False, 'type': 'viewer', 'flags': ['public']}]","{'custom_fields': {'Data Quality': {'Geospatial Resolution': 'County', 'Suggested Citation': 'Centers for Disease Control and Prevention. Stroke Mortality Data Among US Adults (35+) by State/Territory and County – 2022-2024. Accessed [insert date]. https://data.cdc.gov/dataset/Stroke-Mortality-Data-Among-US-Adults-35-by-State-/y5ii-knwc ', 'Geographic Unit of Analysis': 'County', 'Analytical Methods Reference': 'https://www.cdc.gov/heart-disease-stroke-atlas/statistical-methods/index.html'}, 'Common Core': {'Contact Email': 'dhdsprequests@cdc.gov', 'Homepage': 'https://www.cdc.gov/heart-disease-and-stroke-data/index.html', 'Contact Name': 'DHDSP Requests', 'Issued': 'July 7, 2026', 'Program Code': '009:029', 'Geographic Coverage': 'All counties in the United States', 'Publisher': 'Centers for Disease Control and Prevention', 'Bureau Code': '009:20', 'Public Access Level': 'public'}, 'Dataset Information': {'Glossary/Methodology': 'ICD 10 codes: I60-I69'}}, 'availableDisplayTypes': ['table', 'fatrow', 'page']}","{'id': 'a7ta-3b7u', 'displayName': 'DHDSP Small Area Analysis Team', 'screenName': 'DHDSP Small Area Analysis Team', 'type': 'interactive', 'flags': ['acceptedEula', 'mayBeStoriesCoOwner']}",['read'],"{'id': 'a7ta-3b7u', 'displayName': 'DHDSP Small Area Analysis Team', 'screenName': 'DHDSP Small Area Analysis Team', 'type': 'interactive', 'flags': ['acceptedEula', 'mayBeStoriesCoOwner']}","['stroke', 'cerebrovascular disease', 'cardiovascular disease', 'county', 'counties', 'cardiovascular']","['default', 'ownerMayBeContacted', 'restorable', 'restorePossibleForType']",,,,,,,,,,,,,,,
1,mri7-5jtw,Heart Disease Mortality Data Among US Adults (35+) by State/Territory and County – 2022-2024,dataset,0,Heart Disease & Stroke Prevention,1783337832,"2022 to 2024, 3-year average. Rates are age-standardized. County rates are spatially smoothed. The data can be viewed by sex and racial/ethnic group. Data source: National Vital Statistics System. Additional data, maps, and methodology can be viewed on the Interactive Atlas of Heart Disease and Stroke",False,table,302,False,False,False,True,0,42264065,official,False,1783436648,20450425,published,1783436631,a7ta-3b7u,20450425,0,1676,1783436648,tabular,"[{'reviewedAt': 1783449303, 'reviewedAutomatically': True, 'state': 'approved', 'submissionId': 7559498, 'submissionObject': 'public_audience_request', 'submissionOutcome': 'change_audience', 'submittedAt': 1783449303, 'targetAudience': 'public', 'workflowId': 2100, 'submissionDetails': {'permissionType': 'READ'}, 'submissionOutcomeApplication': {'endedAt': 1783449303, 'failureCount': 0, 'startedAt': 1783449303, 'status': 'success'}, 'submitter': {'id': 'a7ta-3b7u', 'displayName': 'DHDSP Small Area Analysis Team'}}]","{'clientContextVariables': [], 'inheritedVariables': {}}","[{'inherited': False, 'type': 'viewer', 'flags': ['public']}]","{'custom_fields': {'Data Quality': {'Geospatial Resolution': 'County', 'Suggested Citation': 'Centers for Disease Control and Prevention. Heart Disease Mortality Data Among US Adults (35+) by State/Territory and County – 2022-2024. Accessed [insert date]. https://data.cdc.gov/dataset/Heart-Disease-Mortality-Data-Among-US-Adults-35-by/mri7-5jtw', 'Geographic Unit of Analysis': 'County', 'Analytical Methods Reference': 'https://www.cdc.gov/heart-disease-stroke-atlas/statistical-methods/index.html'}, 'Common Core': {'Contact Email': 'dhdsprequests@cdc.gov', 'Homepage': 'https://www.cdc.gov/heart-disease-and-stroke-data/index.html', 'Contact Name': 'DHDSP Requests', 'Issued': 'July 6, 2026', 'Program Code': '009:029', 'Geographic Coverage': 'All counties in the United States', 'Publisher': 'Centers for Disease Control and Prevention', 'Bureau Code': '009:20', 'Public Access Level': 'public'}, 'Dataset Information': {'Glossary/Methodology': 'ICD 10 codes: I00-I09, I11, I13, I20-I51  '}}, 'availableDisplayTypes': ['table', 'fatrow', 'page']}","{'id': 'a7ta-3b7u', 'displayName': 'DHDSP Small Area Analysis Team', 'screenName': 'DHDSP Small Area Analysis Team', 'type': 'interactive', 'flags': ['acceptedEula', 'mayBeStoriesCoOwner']}",['read'],"{'id': 'a7ta-3b7u', 'displayName': 'DHDSP Small Area Analysis Team', 'screenName': 'DHDSP Small Area Analysis Team', 'type': 'interactive', 'flags': ['acceptedEula', 'mayBeStoriesCoOwner']}","['heart disease', 'cardiovascular disease', 'cardiovascular', 'counties', 'county', 'heart']","['default', 'ownerMayBeContacted', 'restorable', 'restorePossibleForType']",,,,,,,,,,,,,,,
2,kgm3-tvmi,"2024 National Electronic Health Records Survey (NEHRS) Linked to 2023 Quality Payment Program (QPP) Data, Restricted-use data",href,0,National Center for Health Statistics,1782928395,"Linking national survey data on electronic health record (EHR) adoption with administrative performance data offers substantial analytic value. NEHRS provides nationally representative information on physician EHR capabilities, interoperability, and health information exchange practices, while the QPP dataset contains clinician-level performance information related to quality measurement, payment incentives, and program participation. By combining these data sources, researchers can explore the relationships between EHR adoption, interoperability, and clinician performance under federal payment programs. Please consult a statistician when using NEHRS physician-level analysis weight for producing nationally representative estimates.",False,href,0,False,False,False,False,0,42252215,official,False,1782934703,20441913,published,1782928395,,20441913,0,135,1782934703,href,"[{'reviewedAt': 1782934703, 'reviewedAutomatically': True, 'state': 'approved', 'submissionId': 7549519, 'submissionObject': 'public_audience_request', 'submissionOutcome': 'change_audience', 'submittedAt': 1782934703, 'targetAudience': 'public', 'workflowId': 2100, 'submissionDetails': {'permissionType': 'READ'}, 'submissionOutcomeApplication': {'endedAt': 1782934703, 'failureCount': 0, 'startedAt': 1782934703, 'status': 'success'}, 'submitter': {'id': 'cg9v-hitc', 'displayName': 'NCHS/DHCS'}}]","{'clientContextVariables': [], 'inheritedVariables': {}}","[{'inherited': False, 'type': 'viewer', 'flags': ['public']}]","{'attachments': [{'filename': '2024 National Electronic Health Records Survey (NEHRS) Linked to 2023 Quality Payment Program (QPP) Data.pdf', 'assetId': '8b424438-98f7-4039-bf76-52686dde4830', 'name': '2024 National Electronic Health Records Survey (NEHRS) Linked to 2023 Quality Payment Program (QPP) Data.pdf'}], 'additionalAccessPoints': [{'urls': {'App Process': 'https://www.cdc.gov/rdc/application-process/index.html'}, 'description': 'NCHS has linked the 2024 NEHRS restricted data file with the 2023 Centers for Medicare & Medicaid Services Quality Payment Program data. The linked restricted data file is available through the RDC for approved statistical projects.', 'describedBy': 'https://www.cdc.gov/nchs/data/nehrs/NEHRS-QPP-Methodology-Analytic-Considerations.pdf', 'title': '2024 National Electronic Health Records Survey (NEHRS) Linked to 2023 Quality Payment Program (QPP) Data'}], 'custom_fields': {'Data Quality': {'Geospatial Resolution': 'National', 'Footnotes': 'EHR adoption and capabilities among non-federally employed (except those in Indian Health Service settings) outpatient or office—based physicians practicing in the United States.', 'Suggested Citation': 'National Center for Health Statistics. 2024 NEHRS and 2023 QPP linked datafile. Hyattsville, MD: US Department of Health and Human Services, CDC. Accessed [MONTH] [DAY], [YEAR].'}, 'Common Core': {'Homepage': 'https://www.cdc.gov/nchs/nehrs/index.html', 'Contact Name': 'National Center for Health Statistics', 'Update Frequency': 'One-time product', 'Temporal Applicability': '2023-2024', 'Program Code': '009:020', 'Publisher': 'National Center for Health Statistics', 'Bureau Code': '009:20', 'Contact Email': 'cdcinfo@cdc.gov', 'Described By': 'The sampling frame was composed of Master files for all American physicians who met the following criteria: Outpatient or office-based; Principally engaged in patient care activities; Non-federally employed (except those in Indian Health Service settings); Not in specialties of anesthesiology, pathology, or radiology; Younger than 71 years of age at the time of the survey; Was an eligible respondent to 2024 NEHRS; and had a valid National Provider Identifier (NPI).', 'Collection': 'https://www.cdc.gov/nchs/data/nehrs/NEHRS-QPP-Methodology-Analytic-Considerations.pdf', 'Geographic Coverage': 'National', 'Access Level Comment': 'This dataset is restricted to authorized researchers due to indirect identifying sensitive information.  Researchers must apply for data access through a proposal process, take confidentiality and sign a data use agreement.  If approved, data access would occur at a NCHS or Federal Statistical Research Data Center.  For more information about submitting a proposal for data access, please see: https://www.cdc.gov/rdc/index.html ”', 'Public Access Level': 'restricted public'}}, 'accessPoints': {'App Process': 'https://www.cdc.gov/rdc/application-process/index.html'}, 'availableDisplayTypes': ['table', 'fatrow', 'page']}","{'id': 'cg9v-hitc', 'displayName': 'NCHS/DHCS', 'screenName': 'NCHS/DHCS', 'type': 'interactive', 'flags': ['acceptedEula', 'mayBeStoriesCoOwner']}",['read'],"{'id': 'cg9v-hitc', 'displayName': 'NCHS/DHCS', 'screenName': 'NCHS/DHCS', 'type': 'interactive', 'flags': ['acceptedEula', 'mayBeStoriesCoOwner']}","['nehrs', 'electronic health records', 'healthcare', 'ehr', 'ehr data', 'physicians', ""physicians' offices"", 'physician-level', 'research-data-center', 'nchs']","['default', 'ownerMayBeContacted']",,,,,,,,,,,,,,,
3,9yie-6ukv,Diagnosed Diabetes - By State,chart,0,U.S. Diabetes Surveillance System,1782245096,"For more figures, please visit https://usdss.cdc.gov/diabetes/surveillance.html",False,visualization_canvas_chart,183,False,False,False,True,0,42231967,official,False,1782245240,20413148,published,1782228990,9swp-bpz5,20413148,0,2736,1782245240,tabular,"[{'reviewedAt': 1782245241, 'reviewedAutomatically': True, 'state': 'approved', 'submissionId': 7534116, 'submissionObject': 'public_audience_request', 'submissionOutcome': 'change_audience', 'submittedAt': 1782245241, 'targetAudience': 'public', 'workflowId': 2100, 'submissionDetails': {'permissionType': 'READ'}, 'submissionOutcomeApplication': {'endedAt': 1782245241, 'failureCount': 0, 'startedAt': 1782245241, 'status': 'success'}, 'submitter': {'id': '9swp-bpz5', 'displayName': 'Steve Bloom'}}]","{'clientContextVariables': [], 'inheritedVariables': {}}","[{'inherited': False, 'type': 'viewer', 'flags': ['public']}]","{'custom_fields': {'Data Quality': {'Suggested Citation': 'Centers for Disease Control and Prevention. 2026 U.S. Diabetes Surveillance System. Surveillance Module. Available at https://usdss.cdc.gov/diabetes/surveillance.html. (Accessed: MM/DD/YYYY)', 'Geographic Unit of Analysis': 'State', 'Analytical Methods Reference': 'https://usdss.cdc.gov/diabetes/data/socrata/State_Burden_Magnitude_methods.html'}, 'Common Core': {'Contact Email': 'ddtpubsmailbox@cdc.gov', 'Homepage': 'https://usdss.cdc.gov', 'Contact Name': 'DDT Public Inquiries', 'Program Code': '009:029', 'Geographic Coverage': 'State', 'Bureau Code': '009:20', 'Public Access Level': 'public'}}, 'availableDisplayTypes': ['visualization']}","{'id': '9swp-bpz5', 'displayName': 'Steve Bloom', 'screenName': 'Steve Bloom', 'type': 'interactive', 'flags': ['acceptedEula', 'mayBeStoriesCoOwner']}",['read'],"{'id': '9swp-bpz5', 'displayName': 'Steve Bloom', 'screenName': 'Steve Bloom', 'type': 'interactive', 'flags': ['acceptedEula', 'mayBeStoriesCoOwner']}",,"['ownerMayBeContacted', 'restorable', 'restorePossibleForType']",b559-sbez,,,,,,,,,,,,,,
4,va9e-d8re,"Diagnosed Diabetes - By Age, Adults Aged 18+ Years, Percentage, National",chart,0,U.S. Diabetes Surveillance System,1782231135,,False,visualization_canvas_chart,65,False,False,False,True,0,42231487,official,False,1782231156,20413136,published,1782234691,9swp-bpz5,20413136,0,2294,1782231156,tabular,"[{'reviewedAt': 1782231156, 'reviewedAutomatically': True, 'state': 'approved', 'submissionId': 7533746, 'submissionObject': 'public_audience_request', 'submissionOutcome': 'change_audience', 'submittedAt': 1782231156, 'targetAudience': 'public', 'workflowId': 2100, 'submissionDetails': {'permissionType': 'READ'}, 'submissionOutcomeApplication': {'endedAt': 1782231156, 'failureCount': 0, 'startedAt': 1782231156, 'status': 'success'}, 'submitter': {'id': '9swp-bpz5', 'displayName': 'Steve Bloom'}}]","{'clientContextVariables': [], 'inheritedVariables': {}}","[{'inherited': False, 'type': 'viewer', 'flags': ['public']}]","{'custom_fields': {'Common Core': {'Contact Email': 'ddtpubsmailbox@cdc.gov', 'Contact Name': 'DDT Public Inquiries', 'Program Code': '009:029', 'Bureau Code': '009:38'}}, 'availableDisplayTypes': ['visualization']}","{'id': '9swp-bpz5', 'displayName': 'Steve Bloom', 'screenName': 'Steve Bloom', 'type': 'interactive', 'flags': ['acceptedEula', 'mayBeStoriesCoOwner']}",['read'],"{'id': '9swp-bpz5', 'displayName': 'Steve Bloom', 'screenName': 'Steve Bloom', 'type': 'interactive', 'flags': ['acceptedEula', 'mayBeStoriesCoOwner']}",,"['ownerMayBeContacted', 'restorable', 'restorePossibleForType']",c9xs-vhst,,,,,,,,,,,,,,
5,73uh-igb7,USDSS National Other Diabetes Indicators,dataset,0,U.S. Diabetes Surveillance System,1780674049,"Data from the U.S. Diabetes Surveillance System.
https://usdss.cdc.gov/diabetes/surveillance.html",False,table,242,False,False,False,True,0,42200219,official,False,1782228791,20413164,published,1782236593,9swp-bpz5,20413164,0,2741,1782236586,tabular,"[{'reviewedAt': 1782228792, 'reviewedAutomatically': True, 'state': 'approved', 'submissionId': 7533724, 'submissionObject': 'public_audience_request', 'submissionOutcome': 'change_audience', 'submittedAt': 1782228792, 'targetAudience': 'public', 'workflowId': 2100, 'submissionDetails': {'permissionType': 'READ'}, 'submissionOutcomeApplication': {'endedAt': 1782228792, 'failureCount': 0, 'startedAt': 1782228792, 'status': 'success'}, 'submitter': {'id': '9swp-bpz5', 'displayName': 'Steve Bloom'}}]","{'clientContextVariables': [], 'inheritedVariables': {}}","[{'inherited': False, 'type': 'viewer', 'flags': ['public']}]","{'custom_fields': {'Data Quality': {'Geospatial Resolution': 'National', 'Suggested Citation': 'Centers for Disease Control and Prevention. 2026 U.S. Diabetes Surveillance System. Surveillance Module. Available at https://usdss.cdc.gov/diabetes/surveillance.html. (Accessed: MM/DD/YYYY)', 'Geographic Unit of Analysis': 'National', 'Analytical Methods Reference': 'https://usdss.cdc.gov/diabetes/data/socrata/National_Other_methods.html'}, 'Common Core': {'Contact Email': 'ddtpubsmailbox@cdc.gov', 'Homepage': 'https://usdss.cdc.gov', 'Contact Name': 'DDT Public Inquiries', 'Program Code': '009:029', 'Geographic Coverage': 'National', 'Bureau Code': '009:20', 'Public Access Level': 'public'}}, 'availableDisplayTypes': ['table', 'fatrow', 'page']}","{'id': '9swp-bpz5', 'displayName': 'Steve Bloom', 'screenName': 'Steve Bloom', 'type': 'interactive', 'flags': ['acceptedEula', 'mayBeStoriesCoOwner']}",['read'],"{'id': '9swp-bpz5', 'displayName': 'Steve Bloom', 'screenName': 'Steve Bloom', 'type': 'interactive', 'flags': ['acceptedEula', 'mayBeStoriesCoOwner']}","['diabetes', 'diabetes medication use', 'preventive care practice', 'health status and disability', 'mental health', 'cardiovascular disease - complications']","['default', 'ownerMayBeContacted', 'restorable', 'restorePossibleForType']",,,,,,,,,,,,,,,
6,b559-sbez,USDSS State Burden/Magnitude Diabetes Indicators,dataset,0,U.S. Diabetes Surveillance System,1780672927,"Data from the U.S. Diabetes Surveillance System.
https://usdss.cdc.gov/diabetes/surveillance.html",False,table,268,False,False,False,True,0,42200198,official,False,1782229002,20413148,published,1782228990,9swp-bpz5,20413148,0,2742,1782236921,tabular,"[{'reviewedAt': 1782229003, 'reviewedAutomatically': True, 'state': 'approved', 'submissionId': 7533729, 'submissionObject': 'public_audience_request', 'submissionOutcome': 'change_audience', 'submittedAt': 1782229003, 'targetAudience': 'public', 'workflowId': 2100, 'submissionDetails': {'permissionType': 'READ'}, 'submissionOutcomeApplication': {'endedAt': 1782229003, 'failureCount': 0, 'startedAt': 1782229003, 'status': 'success'}, 'submitter': {'id': '9swp-bpz5', 'displayName': 'Steve Bloom'}}]","{'clientContextVariables': [], 'inheritedVariables': {}}","[{'inherited': False, 'type': 'viewer', 'flags': ['public']}]","{'custom_fields': {'Data Quality': {'Suggested Citation': 'Centers for Disease Control and Prevention. 2026 U.S. Diabetes Surveillance System. Surveillance Module. Available at https://usdss.cdc.gov/diabetes/surveillance.html. (Accessed: MM/DD/YYYY)', 'Geographic Unit of Analysis': 'State', 'Analytical Methods Reference': 'https://usdss.cdc.gov/diabetes/data/socrata/State_Burden_Magnitude_methods.html'}, 'Common Core': {'Contact Email': 'ddtpubsmailbox@cdc.gov', 'Homepage': 'https://usdss.cdc.gov', 'Contact Name': 'DDT Public Inquiries', 'Program Code': '009:029', 'Geographic Coverage': 'State', 'Bureau Code': '009:20', 'Public Access Level': 'public'}}, 'availableDisplayTypes': ['table', 'fatrow', 'page']}","{'id': '9swp-bpz5', 'displayName': 'Steve Bloom', 'screenName': 'Steve Bloom', 'type': 'interactive', 'flags': ['acceptedEula', 'mayBeStoriesCoOwner']}",['read'],"{'id': '9swp-bpz5', 'displayName': 'Steve Bloom', 'screenName': 'Steve Bloom', 'type': 'interactive', 'flags': ['acceptedEula', 'mayBeStoriesCoOwner']}","['diabetes', 'diagnosed type 1 diabetes', 'diagnosed type 2 diabetes', 'newly diagnosed diabetes', 'usdss']","['default', 'ownerMayBeContacted', 'restorable', 'restorePossibleForType']",,,,,,,,,,,,,,,
7,c9xs-vhst,USDSS National Burden/Magnitude Diabetes Indicators,dataset,0,U.S. Diabetes Surveillance System,1780671191,"Data from the U.S. Diabetes Surveillance System.
⁠https://usdss.cdc.gov/diabetes/surveillance.html",False,table,228,False,False,False,True,0,42200181,official,False,1782229005,20413136,published,1782234691,9swp-bpz5,20413136,0,2712,1782244351,tabular,"[{'reviewedAt': 1782229006, 'reviewedAutomatically': True, 'state': 'approved', 'submissionId': 7533730, 'submissionObject': 'public_audience_request', 'submissionOutcome': 'change_audience', 'submittedAt': 1782229006, 'targetAudience': 'public', 'workflowId': 2100, 'submissionDetails': {'permissionType': 'READ'}, 'submissionOutcomeApplication': {'endedAt': 1782229006, 'failureCount': 0, 'startedAt': 1782229006, 'status': 'success'}, 'submitter': {'id': '9swp-bpz5', 'displayName': 'Steve Bloom'}}]","{'clientContextVariables': [], 'inheritedVariables': {}}","[{'inherited': False, 'type': 'viewer', 'flags': ['public']}]","{'custom_fields': {'Data Quality': {'Suggested Citation': 'Centers for Disease Control and Prevention. 2026 U.S. Diabetes Surveillance System. Surveillance Module. Available at https://usdss.cdc.gov/diabetes/surveillance.html. (Accessed: MM/DD/YYYY).', 'Geographic Unit of Analysis': 'National', 'Analytical Methods Reference': 'https://usdss.cdc.gov/diabetes/data/socrata/National_Burden_Magnitude_methods.html'}, 'Common Core': {'Contact Email': 'ddtpubsmailbox@cdc.gov', 'Homepage': 'https://usdss.cdc.gov', 'Contact Name': 'DDT Public Inquiries', 'Program Code': '009:029', 'Geographic Coverage': 'National', 'Bureau Code': '009:38', 'Public Access Level': 'public'}}, 'availableDisplayTypes': ['table', 'fatrow', 'page']}","{'id': '9swp-bpz5', 'displayName': 'Steve Bloom', 'screenName': 'Steve Bloom', 'type': 'interactive', 'flags': ['acceptedEula', 'mayBeStoriesCoOwner']}",['read'],"{'id': '9swp-bpz5', 'displayName': 'Steve Bloom', 'screenName': 'Steve Bloom', 'type': 'interactive', 'flags': ['acceptedEula', 'mayBeStoriesCoOwner']}","['diabetes', 'diagnosed diabetes', 'diagnosed type 1 diabetes', 'diagnosed type 2 diabetes', 'newly diagnosed diabetes', 'age at diagnosis of diabetes', 'duration of diabetes', 'usdss']","['default', 'ownerMayBeContacted', 'restorable', 'restorePossibleForType']",,,,,,,,,,,,,,,
8,daba-4vfq,"DQS Birth and fertility rates, by age group, race, and Hispanic origin of mother: United States",dataset,0,National Center for Health Statistics,1780489341,"Data on birth rates and fertility rates in the United States, by age group, race, and Hispanic origin of mother. Data are from Health, United States. SOURCE: National Vital Statistics System, Birth File. Search, visualize, and download these and other estimates from a wide range of health topics with the NCHS Data Query System (DQS), available from: https://www.cdc.gov/nchs/dataquery/index.htm.",False,table,239,False,False,False,True,0,42191352,official,False,1780494156,20408998,published,1780494135,jmit-3bpd,20408998,0,1285,1780494156,tabular,"[{'reviewedAt': 1780921896, 'reviewedAutomatically': True, 'state': 'approved', 'submissionId': 7516487, 'submissionObject': 'public_audience_request', 'submissionOutcome': 'change_audience', 'submittedAt': 1780921896, 'targetAudience': 'public', 'workflowId': 2100, 'submissionDetails': {'permissionType': 'READ'}, 'submissionOutcomeApplication': {'endedAt': 1780921897, 'failureCount': 0, 'startedAt': 1780921896, 'status': 'success'}, 'submitter': {'id': 'jmit-3bpd', 'displayName': 'Choppell Maxwell'}}]","{'clientContextVariables': [], 'inheritedVariables': {}}","[{'inherited': False, 'type': 'viewer', 'flags': ['public']}]","{'custom_fields': {'Data Quality': {'Footnotes': 'https://data.cdc.gov/dataset/DQS-Health-United-States-Dataset-Footnote-Lookup/9xt5-u42s', 'Suggested Citation': 'National Center for Health Statistics. Health, United States. Data accessed [Last accessed date]. Available from\xa0[URL].', 'Analytical Methods Reference': 'https://www.cdc.gov/nchs/hus/sources-definitions.htm'}, 'Common Core': {'Contact Email': 'healthus@cdc.gov', 'Homepage': 'https://www.cdc.gov/nchs/hus', 'Contact Name': 'National Center for Health Statistics', 'Issued': '2021-11-17', 'Update Frequency': 'Annual R/P1Y', 'Temporal Applicability': '2016/2024', 'Program Code': '009:020', 'Geographic Coverage': 'United States', 'Publisher': 'National Center for Health Statistics', 'Bureau Code': '009:20', 'Public Access Level': 'public'}}, 'rowLabel': 'Estimates of live births per 1,000 females and live births per 1,000 females ages 15-44', 'availableDisplayTypes': ['table', 'fatrow', 'page']}","{'id': 'jmit-3bpd', 'displayName': 'Choppell Maxwell', 'screenName': 'Choppell Maxwell', 'type': 'interactive', 'flags': ['acceptedEula']}",['read'],"{'id': 'jmit-3bpd', 'displayName': 'Choppell Maxwell', 'screenName': 'Choppell Maxwell', 'type': 'interactive', 'flags': ['acceptedEula']}","['birth rate', 'fertility rate', 'natality', 'live birth', 'pregnancy', 'infant', 'newborn', 'age-specific birth rate', 'teen birth rate', 'reproductive health', 'race and hispanic origin', 'race of mother', 'hispanic or latino', 'non-hispanic', 'single race', 'american indian and alaska native', 'asian', 'black or african american', 'native hawaiian or other pacific islander', 'white', 'national vital statistics system', 'nvss', 'birth file', 'health us']","['default', 'ownerMayBeContacted', 'restorable', 'restorePossibleForType']",,,,,,,,,,,,,,,
9,7xgi-7tmq,Lipidomics Profiling of Inflammatory and Specialized Pro-resolving Mediators at the Junction of Inflammation-Resolution Transition in Mouse Lungs Exposed to Multiwalled Carbon Nanotubes,file,0,National Institute for Occupational Safety and Health,1779995274,"Multi-walled carbon nanotubes (MWCNTs) are new nanomaterials made of graphene sheets that role into multi-layer, concentric tubes. MWCNTs are airborne and resistant to natural and biological degradation. The potential that inhalation of MWCNTS at the workplace overtime causes lung injury and disease is a considerable health concern for exposed workers. Exposure to certain MWCNTs induces prominent acute inflammation with lung injury in laboratory animals. How fibrogenic MWCNTs instigate inflammation and how the interplay between inflammation and resolution of inflammation influences fibrotic development from exposure to MWCNTs have not been well understood. This study addressed these knowledge gaps by using a quantitative lipidomics approach to systematically profile inflammatory lipid mediators and specialized pro-resolving lipid mediators, major mediators of inflammation and resolution, respectively, at the junction of transition from acute inflammation to fibrotic progression in mouse lungs exposed to fibrogenic MWCNTs.",False,blob,29,False,False,False,False,0,42176309,official,False,1779995399,20401297,published,1779995274,,20401297,0,92,1780067335,blobby,"[{'reviewedAt': 1779995400, 'reviewedAutomatically': True, 'state': 'approved', 'submissionId': 7499361, 'submissionObject': 'public_audience_request', 'submissionOutcome': 'change_audience', 'submittedAt': 1779995400, 'targetAudience': 'public', 'workflowId': 2100, 'submissionDetails': {'permissionType': 'READ'}, 'submissionOutcomeApplication': {'endedAt': 1779995400, 'failureCount': 0, 'startedAt': 1779995400, 'status': 'success'}, 'submitter': {'id': 'u83t-x93e', 'displayName': 'Garrett Burnett'}}]","{'clientContextVariables': [], 'inheritedVariables': {}}","[{'inherited': False, 'type': 'viewer', 'flags': ['public']}]","{'custom_fields': {'Common Core': {'Contact Email': 'qam1@cdc.gov', 'Contact Name': 'Qiang Ma', 'Program Code': '009:034', 'Bureau Code': '009:20'}}, 'availableDisplayTypes': ['table', 'fatrow', 'page']}","{'id': 'u83t-x93e', 'displayName': 'Garrett Burnett', 'screenName': 'Garrett Burnett', 'type': 'interactive', 'flags': ['acceptedEula', 'mayBeStoriesCoOwner']}",['read'],"{'id': 'u83t-x93e', 'displayName': 'Garrett Burnett', 'screenName': 'Garrett Burnett', 'type': 'interactive', 'flags': ['acceptedEula', 'mayBeStoriesCoOwner']}",,"['default', 'ownerMayBeContacted']",,RD-1121-2026-0.zip,343123.0,3d37a9b8-4d52-4f21-b5a3-c1efefad673f,application/x-zip-compressed,,,,,,,,,,
